Rk,GAME_DATE,AGE,MATCHUP,WL,GS,MP,FG,FGA,FG%,FG3M,FG3A,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-14,30-304,CON vs. IND,W (+21),0,23:43,3,7,.429,3,7,.429,1,1,1.000,0,1,1,0,1,0,0,3,10,6.4
2,2024-05-17,30-307,CON vs. WAS,W (+7),0,13:35,0,4,.000,0,3,.000,0,0,-,1,0,1,1,0,0,1,2,0,-3.2
3,2024-05-23,30-313,CON vs. MIN,W (+1),0,23:51,2,5,.400,2,4,.500,0,0,-,0,5,5,1,0,0,3,3,6,1.3
4,2024-05-25,30-315,CON @ CHI,W (+4),0,10:44,3,4,.750,1,2,.500,0,0,-,0,0,0,1,0,0,1,1,7,4.7
5,2024-05-28,30-318,CON vs. PHO,W (+23),0,19:41,1,8,.125,1,6,.167,1,1,1.000,0,2,2,0,0,0,0,3,4,-1.8
6,2024-05-31,30-321,CON vs. DAL,W (+2),0,12:53,1,4,.250,1,3,.333,0,0,-,0,2,2,0,0,1,0,2,3,1.1
7,2024-06-02,30-323,CON @ ATL,W (+19),0,10:24,1,4,.250,0,2,.000,0,0,-,0,0,0,0,0,0,1,2,2,-2.2
8,2024-06-04,30-325,CON vs. WAS,W (+17),0,10:27,1,4,.250,0,2,.000,1,2,.500,0,1,1,1,2,0,1,0,3,2.2
