Rk,GAME_DATE,AGE,MATCHUP,WL,GS,MP,FG,FGA,FG%,FG3M,FG3A,3P%,FT,FTA,FT%,ORB,DRB/TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-14,30-067,CON vs. IND,W (+21),0,3:40,1,1,1.000,1,1,1.000,0,0,-,0,0,0,0,0,0,0,1,3,2.3
2,2024-05-17,30-070,CON vs. WAS,W (+7),0,11:04,2,4,.500,2,4,.500,2,2,1.000,0,0,0,1,3,0,1,2,8,7.9
3,2024-05-20,30-073,CON @ IND,W (+4),0,8:30,0,2,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,1,1,2,-0.5
4,2024-05-25,30-078,CON @ CHI,W (+4),0,5:32,0,0,-,0,0,-,0,0,-,0,0,0,2,1,0,0,0,0,2.4
5,2024-05-28,30-081,CON vs. PHO,W (+23),0,16:07,1,5,.200,0,2,.000,0,0,-,0,0,0,1,2,0,0,3,2,0.4
6,2024-05-31,30-084,CON vs. DAL,W (+2),0,2:14,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0.0
7,2024-06-02,30-086,CON @ ATL,W (+19),0,2:54,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0.3
