Rk,GAME_DATE,AGE,MATCHUP,WL,GS,MP,FG,FGA,FG%,FG3M,FG3A,3P%,FT,FTA,FT%,ORB,DRB/TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-14,26-013,CON vs. IND,W (+21),1,28:16,6,11,.545,4,6,.667,0,0,-,0,0,0,2,1,0,0,3,16,11.9
2,2024-05-17,26-016,CON vs. WAS,W (+7),1,26:18,2,7,.286,0,2,.000,1,1,1.000,0,0,0,4,1,0,0,3,5,3.5
3,2024-05-20,26-019,CON @ IND,W (+4),1,29:39,5,12,.417,3,7,.429,3,3,1.000,0,0,0,2,0,0,1,1,16,9.6
4,2024-05-23,26-022,CON vs. MIN,W (+1),1,37:53,3,8,.375,1,2,.500,0,0,-,0,2,2,3,0,0,4,5,7,-0.7
5,2024-05-25,26-024,CON @ CHI,W (+4),1,31:55,6,10,.600,2,4,.500,1,1,1.000,2,3,5,3,1,0,3,3,15,11.6
6,2024-05-28,26-027,CON vs. PHO,W (+23),1,23:20,1,4,.250,1,3,.333,0,0,-,0,2,2,5,1,0,0,2,3,4.9
7,2024-05-31,26-030,CON vs. DAL,W (+2),1,32:19,3,9,.333,0,2,.000,1,2,.500,0,2,2,4,2,0,2,0,7,4.9
8,2024-06-02,26-032,CON @ ATL,W (+19),1,32:13,4,13,.308,3,9,.333,2,2,1.000,0,4,4,3,1,0,1,0,13,8.8
9,2024-06-04,26-034,CON vs. WAS,W (+17),1,33:42,4,8,.500,2,4,.500,4,4,1.000,0,1,1,6,2,1,1,1,14,15.8
