Rk,GAME_DATE,AGE,MATCHUP,WL,GS,MP,FG,FGA,FG%,FG3M,FG3A,3P%,FT,FTA,FT%,ORB,DRB/TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-14,36-267,CON vs. IND,W (+21),1,28:39,8,14,.571,0,3,.000,4,5,.800,0,6,6,1,1,0,2,4,20,12.9
2,2024-05-17,36-270,CON vs. WAS,W (+7),1,34:50,9,19,.474,0,6,.000,4,4,1.000,1,5,6,1,6,0,0,2,22,20.4
3,2024-05-20,36-273,CON @ IND,W (+4),1,34:58,7,19,.368,1,7,.143,7,8,.875,0,3,3,2,1,0,1,2,22,12.6
4,2024-05-23,36-276,CON vs. MIN,W (+1),1,36:25,6,12,.500,2,4,.500,6,7,.857,0,3,3,2,3,0,2,2,20,16.1
5,2024-05-25,36-278,CON @ CHI,W (+4),1,34:38,6,15,.400,3,9,.333,4,5,.800,2,6,8,3,0,1,1,2,19,14.7
6,2024-05-28,36-281,CON vs. PHO,W (+23),1,29:12,7,11,.636,2,4,.500,3,4,.750,1,2,3,3,1,1,2,0,19,16.8
7,2024-05-31,36-284,CON vs. DAL,W (+2),1,34:30,5,13,.385,0,4,.000,2,3,.667,1,3,4,2,0,0,2,1,12,5.1
8,2024-06-02,36-286,CON @ ATL,W (+19),1,30:26,8,15,.533,2,4,.500,0,2,.000,1,9,10,1,0,2,4,4,18,9.8
9,2024-06-04,36-288,CON vs. WAS,W (+17),1,33:54,6,12,.500,3,5,.600,5,6,.833,0,8,8,3,1,1,3,1,20,16.4
