PERSON_ID,DISPLAY_FIRST_LAST
1628382,Justin Jackson
1631245,Quenton Jackson
202704,Reggie Jackson
1641748,Andre Jackson Jr.
1628991,Jaren Jackson Jr.
1631218,Trayce Jackson-Davis
2544,LeBron James
1631170,Jaime Jaquez Jr.
1630610,DeJon Jarreau
1629610,DaQuan Jeffries
1641998,Trey Jemison
1629660,Ty Jerome
1630198,Isaiah Joe
1629661,Cameron Johnson
1630552,Jalen Johnson
201949,James Johnson
1629640,Keldon Johnson
1630553,Keon Johnson
1641749,Keyontae Johnson
203999,Nikola Jokic
1641732,Colby Jones
1627745,Damian Jones
1630529,Herbert Jones
1630539,Kai Jones
1630222,Mason Jones
1630200,Tre Jones
1626145,Tyus Jones
1627884,Derrick Jones Jr.
201599,DeAndre Jordan
202709,Cory Joseph
1631107,Nikola Jovic
1630548,Johnny Juzang
1628379,Luke Kennard
1631117,Walker Kessler
1630296,Braxton Key
1630557,Corey Kispert
1628467,Maxi Kleber
1628995,Kevin Knox II
1629723,John Konchar
1627788,Furkan Korkmaz
1628436,Luke Kornet
1630249,Vit Krejci
1630228,Jonathan Kuminga
1628398,Kyle Kuzma
1631222,Jake LaRavia
203897,Zach LaVine
1629111,Jock Landale
1630639,A.J. Lawson
1627747,Caris LeVert
1627814,Damion Lee
1630240,Saben Lee
203458,Alex Len
202695,Kawhi Leonard
1641721,Maxwell Lewis
1630184,Kira Lewis Jr.
1630604,E.J. Liddell
203081,Damian Lillard
1629642,Nassir Little
1641726,Dereck Lively II
1630587,Isaiah Livers
1641753,Chris Livingston
1631254,Kenneth Lofton Jr.
1626172,Kevon Looney
201572,Brook Lopez
201577,Robin Lopez
201567,Kevin Love
200768,Kyle Lowry
1641754,Seth Lundy
1626168,Trey Lyles
1630177,Theo Maledon
1630572,Sandro Mamukelashvili
1629611,Terance Mann
1630544,Tre Mann
1626246,Boban Marjanovic
1628374,Lauri Markkanen
1630230,Naji Marshall
1628997,Caleb Martin
1628998,Cody Martin
1641798,Jaylen Martin
1630231,KJ Martin
1629726,Garrison Mathews
1631097,Bennedict Mathurin
202083,Wesley Matthews
1630178,Tyrese Maxey
1630219,Skylar Mays
1630540,Miles McBride
203468,CJ McCollum
204456,T.J. McConnell
1630183,Jaden McDaniels
1629667,Jalen McDaniels
203926,Doug McDermott
201580,JaVale McGee
1631121,Bryce McGowens
1629162,Jordan McLaughlin
1629001,De'Anthony Melton
1641877,Nathan Mensah
1630241,Sam Merrill
1629002,Chimezie Metu
203995,Vasilije Micic
203114,Khris Middleton
1641706,Brandon Miller
1641757,Jordan Miller
1631159,Leonard Miller
201988,Patty Mills
1629003,Shake Milton
1631303,Justin Minaya
1631169,Josh Minott
1630558,Davion Mitchell
1628378,Donovan Mitchell
1630596,Evan Mobley
1630600,Isaiah Mobley
1628370,Malik Monk
1630541,Moses Moody
1629875,Xavier Moon
1631386,Taze Moore
1631111,Wendell Moore Jr.
1629630,Ja Morant
202693,Markieff Morris
1628420,Monte Morris
202694,Marcus Morris Sr.
1630530,Trey Murphy III
1627749,Dejounte Murray
1627750,Jamal Murray
1631099,Keegan Murray
1631200,Kris Murray
203488,Mike Muscala
1629004,Svi Mykhailiuk
1631250,Pete Nance
1626204,Larry Nance Jr.
1629614,Andrew Nembhard
1630174,Aaron Nesmith
1627777,Georges Niang
1630227,Daishen Nix
1630192,Zeke Nnaji
1629669,Jaylen Nowell
1641806,Markquis Nowell
1628373,Frank Ntilikina
203994,Jusuf Nurkic
1629670,Jordan Nwora
1626220,Royce O'Neale
1629643,Chuma Okeke
1629006,Josh Okogie
1630168,Onyeka Okongwu
1630171,Isaac Okoro
203482,Kelly Olynyk
1630647,Eugene Omoruyi
1626224,Cedi Osman
1626162,Kelly Oubre Jr.
101108,Chris Paul
1626166,Cameron Payne
1627780,Gary Payton II
1641970,Maozinha Pereira
1641809,Drew Peterson
1630196,Filip Petrusev
1641763,Julian Phillips
1629618,Jalen Pickett
1630590,Scotty Pippen Jr.
203486,Mason Plumlee
1641764,Brandin Podziemski
1627751,Jakob Poeltl
1630197,Aleksej Pokusevski
1629673,Jordan Poole
1629007,Jontay Porter
1641854,Craig Porter Jr.
1629008,Michael Porter Jr.
203490,Otto Porter Jr.
1626171,Bobby Portis
204001,Kristaps Porzingis
1630695,Micah Potter
203939,Dwight Powell
1626181,Norman Powell
1630554,Jason Preston
1630563,Joshua Primo
1627752,Taurean Prince
1630202,Payton Pritchard
1641765,Olivier-Maxence Prosper
1630243,Trevelin Queen
1629674,Neemias Queta
1630193,Immanuel Quickley
1631311,Lester Quinones
1630186,Jahmi'us Ramsey
203944,Julius Randle
1641871,Duop Reath
1630559,Austin Reaves
1629629,Cam Reddish
1630194,Paul Reed
1629675,Naz Reid
1631197,Jared Rhoden
1630208,Nick Richards
1626196,Josh Richardson
1629130,Duncan Robinson
1629010,Jerome Robinson
1629011,Mitchell Robinson
1631115,Orlando Robinson
1630526,Jeremiah Robinson-Earl
1631223,David Roddy
1631157,Ryan Rollins
201565,Derrick Rose
1626179,Terry Rozier
1641712,Rayan Rupert
1626156,D'Angelo Russell
1630346,Matt Ryan
1627734,Domantas Sabonis
1629677,Luka Samanic
1631257,Jermaine Samuels Jr.
1641766,Adama Sanogo
1630611,Gui Santos
203967,Dario Saric
1630846,Olivier Sarr
1631204,Marcus Sasser
1629678,Admiral Schofield
203471,Dennis Schroder
1631220,Dereon Seabron
1630578,Alperen Sengun
1641729,Brice Sensabaugh
1629012,Collin Sexton
1629013,Landry Shamet
1630549,Day'Ron Sharpe
1631101,Shaedon Sharpe
1641767,Ben Sheppard
1627783,Pascal Siakam
1627732,Ben Simmons
1628424,Kobi Simmons
1629014,Anfernee Simons
1630285,Zavier Simpson
1630579,Jericho Sims
1631376,Dmytro Skapintsev
1641771,Jalen Slawson
1630606,Javonte Smart
203935,Marcus Smart
1630696,Dru Smith
202397,Ish Smith
1630188,Jalen Smith
1631173,Terquavion Smith
1628372,Dennis Smith Jr.
1631095,Jabari Smith Jr.
1641733,Nick Smith Jr.
1631110,Jeremy Sochan
1630311,Pat Spencer
1630531,Jaden Springer
1630205,Lamar Stevens
1630191,Isaiah Stewart
1631124,Julian Strawther
1629622,Max Strus
1630591,Jalen Suggs
1631306,Cole Swider
1630256,Jae'Sean Tate
1628369,Jayson Tatum
1630678,Terry Taylor
202066,Garrett Temple
1631207,Dalen Terry
1628464,Daniel Theis
1630560,Cam Thomas
202738,Isaiah Thomas
1641708,Amen Thompson
1641709,Ausar Thompson
202691,Klay Thompson
202684,Tristan Thompson
1630550,JT Thor
1629680,Matisse Thybulle
1630214,Xavier Tillman
1631210,Jacob Toppin
1630167,Obi Toppin
1629308,Juan Toscano-Anderson
1626157,Karl-Anthony Towns
1629018,Gary Trent Jr.
1631131,Oscar Tshiebwe
200782,P.J. Tucker
1626167,Myles Turner
1641816,Hunter Tyson
1630649,Stanley Umude
202685,Jonas Valanciunas
1627832,Fred VanVleet
1629020,Jarred Vanderbilt
1630170,Devin Vassell
1628426,Sasha Vezenkov
1629216,Gabe Vincent
