Rk,GAME_DATE,AGE,MATCHUP,WL,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,REB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1, 2024-05-15, 30-191, LAS vs. ATL, L (-11), 1, 37:43, 7, 15, .467, 2, 4, .500, 4, 8, .500, 3, 11, 14, 3, 2, 0, 2, 3, 20, 17.0
2, 2024-05-18, 30-194, LAS @ LVA, L (-7), 1, 33:11, 12, 16, .750, 0, 0, , 5, 11, .455, 1, 8, 9, 1, 3, 0, 2, 3, 29, 23.8
3, 2024-05-21, 30-197, LAS vs. WAS, W (+2), 1, 36:45, 7, 13, .538, 0, 2, .000, 3, 6, .500, 2, 16, 18, 4, 1, 0, 4, 4, 17, 13.9
4, 2024-05-24, 30-200, LAS vs. IND, L (-5), 1, 36:08, 6, 13, .462, 1, 2, .500, 5, 6, .833, 1, 11, 12, 7, 0, 0, 4, 3, 18, 14.6
5, 2024-05-26, 30-202, LAS vs. DAL, L (-1), 1, 38:12, 7, 15, .467, 0, 1, .000, 5, 8, .625, 2, 11, 13, 4, 0, 0, 3, 1, 19, 14.2
6, 2024-05-28, 30-204, LAS @ IND, W (+6), 1, 40:00, 6, 12, .500, 1, 1, 1.000, 4, 6, .667, 2, 8, 10, 5, 2, 0, 4, 4, 17, 13.9
7, 2024-05-30, 30-206, LAS @ CHI, L (-10), 1, 38:47, 9, 19, .474, 1, 2, .500, 5, 6, .833, 3, 10, 13, 3, 3, 0, 3, 0, 24, 21.1
8, 2024-06-02, 30-209, LAS @ PHO, L (-19), 1, 34:02, 9, 12, .750, 3, 3, 1.000, 2, 4, .500, 0, 4, 4, 2, 3, 0, 3, 2, 23, 19.2
