Rk,GAME_DATE,AGE,MATCHUP,WL,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,REB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-15,23-329,LAS vs. ATL,L (-11),0,2:32,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1
2,2024-05-26,23-340,LAS vs. DAL,L (-1),0,2:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
3,2024-05-28,23-342,LAS @ IND,W (+6),0,12:18,2,3,.667,2,2,1.000,2,2,1.000,0,0,0,1,2,1,2,1,8,7.7
4,2024-05-30,23-344,LAS @ CHI,L (-10),0,6:21,0,1,.000,0,1,.000,1,2,.500,0,0,0,1,0,0,2,2,1,-2.2
5,2024-06-02,23-347,LAS @ PHO,L (-19),0,5:31,0,1,.000,0,1,.000,0,0,,1,0,1,0,1,0,2,2,0,-1.8
