Rk,GAME_DATE,AGE,MATCHUP,WL,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,REB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1, 2024-05-15, 28-083, LAS vs. ATL, L (-11), 1, 32:19, 8, 16, .500, 5, 11, .455, 2, 2, 1.000, 1, 1, 2, 1, 1, 0, 2, 1, 23, 15.3
2, 2024-05-18, 28-086, LAS @ LVA, L (-7), 1, 32:08, 6, 8, .750, 1, 2, .500, 0, 0, , 0, 2, 2, 3, 1, 0, 1, 1, 13, 12.1
3, 2024-05-21, 28-089, LAS vs. WAS, W (+2), 1, 31:14, 4, 9, .444, 3, 7, .429, 2, 4, .500, 0, 1, 1, 2, 1, 0, 2, 3, 13, 7.0
4, 2024-05-24, 28-092, LAS vs. IND, L (-5), 1, 26:22, 2, 11, .182, 0, 7, .000, 0, 0, , 0, 2, 2, 3, 1, 0, 1, 3, 4, -1.4
5, 2024-05-26, 28-094, LAS vs. DAL, L (-1), 1, 17:17, 0, 4, .000, 0, 2, .000, 0, 0, , 0, 0, 0, 3, 0, 0, 0, 0, 0, -0.7
6, 2024-05-28, 28-096, LAS @ IND, W (+6), 1, 27:57, 6, 12, .500, 5, 6, .833, 5, 8, .625, 0, 2, 2, 1, 0, 0, 0, 5, 22, 14.1
7, 2024-05-30, 28-098, LAS @ CHI, L (-10), 1, 31:38, 5, 12, .417, 2, 7, .286, 5, 6, .833, 0, 1, 1, 2, 1, 0, 2, 1, 17, 10.5
8, 2024-06-02, 28-101, LAS @ PHO, L (-19), 1, 34:29, 3, 10, .300, 1, 6, .167, 5, 6, .833, 0, 1, 1, 4, 0, 0, 1, 2, 12, 7.1
