Rk,GAME_DATE,AGE,MATCHUP,WL,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,REB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-15,23-127,LAS vs. ATL,L (-11),0,5:53,0,3,.000,0,0,,1,2,.500,1,1,2,0,0,0,1,0,1,-1.5
2,2024-05-18,23-130,LAS @ LVA,L (-7),0,14:16,2,7,.286,0,2,.000,0,0,,0,3,3,2,0,0,1,1,4,0.8
3,2024-05-21,23-133,LAS vs. WAS,W (+2),0,3:01,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0
4,2024-05-24,23-136,LAS vs. IND,L (-5),0,4:42,1,2,.500,1,2,.500,1,2,.500,0,0,0,0,0,0,1,0,4,1.6
5,2024-05-26,23-138,LAS vs. DAL,L (-1),0,15:08,2,6,.333,0,1,.000,0,0,,1,0,1,1,0,0,0,1,4,1.6
6,2024-05-28,23-140,LAS @ IND,W (+6),0,5:00,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,1,0,-1.1
7,2024-05-30,23-142,LAS @ CHI,L (-10),0,13:08,0,5,.000,0,3,.000,2,4,.500,0,0,0,1,0,1,0,3,2,-2.1
8,2024-06-02,23-145,LAS @ PHO,L (-19),0,15:44,2,4,.500,2,3,.667,2,2,1.000,0,2,2,1,0,0,1,1,8,5.9
