Rk,GAME_DATE,AGE,MATCHUP,WL,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,REB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-15,29-201,LAS vs. ATL,L (-11),1,34:07,3,10,.300,1,4,.250,1,3,.333,0,0,0,3,2,0,0,2,8,4.7
2,2024-05-18,29-204,LAS @ LVA,L (-7),1,31:16,6,14,.429,2,5,.400,2,2,1.000,0,2,2,2,3,0,1,3,16,11.4
3,2024-05-21,29-207,LAS vs. WAS,W (+2),1,40:00,6,14,.429,3,6,.500,5,5,1.000,0,2,2,6,2,0,7,3,20,11.2
4,2024-05-24,29-210,LAS vs. IND,L (-5),1,38:14,2,10,.200,0,5,.000,1,1,1.000,0,5,5,3,1,0,4,1,5,-1.0
5,2024-05-26,29-212,LAS vs. DAL,L (-1),1,26:32,4,14,.286,2,5,.400,2,2,1.000,1,3,4,6,0,0,0,2,12,8.8
6,2024-05-28,29-214,LAS @ IND,W (+6),1,11:35,1,1,1.000,1,1,1.000,0,0,,0,4,4,1,0,1,2,0,3,3.3
7,2024-05-30,29-216,LAS @ CHI,L (-10),1,18:36,1,4,.250,0,2,.000,2,2,1.000,0,1,1,4,1,0,3,3,4,1.5
8,2024-06-02,29-219,LAS @ PHO,L (-19),1,12:23,0,5,.000,0,2,.000,0,0,,0,3,3,2,0,0,3,2,0,-5.0
