Rk,GAME_DATE,AGE,MATCHUP,WL,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,REB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-15,22-136,LAS vs. ATL,L (-11),1,19:46,4,6,.667,2,3,.667,1,2,.500,0,2,2,4,0,2,1,5,11,9.8
2,2024-05-18,22-139,LAS @ LVA,L (-7),1,25:05,1,7,.143,0,2,.000,1,1,1.000,0,8,8,0,1,5,3,4,3,0.8
3,2024-05-21,22-142,LAS vs. WAS,W (+2),1,29:52,2,2,1.000,0,0,,0,0,,1,7,8,3,3,4,3,3,4,9.9
4,2024-05-24,22-145,LAS vs. IND,L (-5),1,26:15,5,9,.556,1,3,.333,4,4,1.000,1,8,9,2,2,2,4,5,15,12.6
5,2024-05-26,22-147,LAS vs. DAL,L (-1),1,23:31,7,12,.583,3,6,.500,4,4,1.000,1,1,2,3,0,3,2,5,21,16.6
6,2024-05-28,22-149,LAS @ IND,W (+6),1,24:02,1,5,.200,1,3,.333,0,0,,1,2,3,2,1,2,3,3,3,0.8
7,2024-05-30,22-151,LAS @ CHI,L (-10),1,22:41,2,6,.333,0,1,.000,3,4,.750,0,6,6,2,2,1,4,4,7,3.5
8,2024-06-02,22-154,LAS @ PHO,L (-19),1,25:40,3,6,.500,0,1,.000,0,1,.000,2,3,5,1,0,2,2,5,6,3.0
