Rk,GAME_DATE,AGE,MATCHUP,WL,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,REB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-15,33-013,LAS vs. ATL,L (-11),1,30:16,3,6,.500,2,3,.667,3,4,.750,1,9,10,10,2,0,0,2,11,19.2
2,2024-05-18,33-016,LAS @ LVA,L (-7),1,22:31,1,5,.200,0,1,.000,0,0,,0,3,3,4,1,0,4,3,2,-1.6
3,2024-05-21,33-019,LAS vs. WAS,W (+2),1,17:21,3,5,.600,1,1,1.000,0,0,,1,0,1,2,1,0,2,2,7,5.0
4,2024-05-24,33-022,LAS vs. IND,L (-5),1,20:40,1,1,1.000,0,0,,0,0,,0,2,2,2,1,0,2,1,2,2.3
5,2024-05-26,33-024,LAS vs. DAL,L (-1),1,7:27,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,4,2.6
